,AreaName,Count,APREC,AREA_MI,count_sqmi
0,77th Street,30314,77TH STREET,16.45,1843.0
1,Southwest,24661,SOUTHWEST,17.89,1378.0
2,N Hollywood,23010,N HOLLYWOOD,33.18,693.0
3,Southeast,22423,SOUTHEAST,13.58,1651.0
4,Pacific,22230,PACIFIC,37.35,595.0
5,Devonshire,20771,DEVONSHIRE,70.59,294.0
6,Newton,19227,NEWTON,14.19,1355.0
7,West LA,19141,WEST LA,94.12,203.0
8,Northeast,18991,NORTHEAST,42.59,446.0
9,West Valley,18796,WEST VALLEY,48.97,384.0
10,Wilshire,18700,WILSHIRE,17.06,1096.0
11,Mission,18663,MISSION,36.68,509.0
12,Van Nuys,18092,VAN NUYS,25.61,706.0
13,Hollywood,17982,HOLLYWOOD,19.42,926.0
14,Topanga,17838,TOPANGA,47.56,375.0
15,Harbor,17333,HARBOR,46.24,375.0
16,Olympic,17320,OLYMPIC,9.1,1903.0
17,Rampart,15650,RAMPART,8.05,1944.0
18,Central,15567,CENTRAL,7.13,2183.0
19,Foothill,14542,FOOTHILL,67.98,214.0
20,Hollenbeck,13065,HOLLENBECK,22.59,578.0
