YearMonth,Count,year,month,monthstr
2017-10-01,4595,2017,10,Oct
2018-12-01,4391,2018,12,Dec
2017-12-01,4377,2017,12,Dec
2017-01-01,4329,2017,1,Jan
2017-07-01,4325,2017,7,Jul
2016-12-01,4283,2016,12,Dec
2018-07-01,4266,2018,7,Jul
2018-05-01,4265,2018,5,May
2017-11-01,4241,2017,11,Nov
2018-08-01,4230,2018,8,Aug
2017-03-01,4200,2017,3,Mar
2017-05-01,4191,2017,5,May
2017-09-01,4188,2017,9,Sep
2015-12-01,4181,2015,12,Dec
2017-04-01,4169,2017,4,Apr
2016-10-01,4164,2016,10,Oct
2018-10-01,4161,2018,10,Oct
2018-11-01,4161,2018,11,Nov
2010-01-01,4148,2010,1,Jan
2017-08-01,4137,2017,8,Aug
2016-07-01,4116,2016,7,Jul
2018-06-01,4107,2018,6,Jun
2010-12-01,4098,2010,12,Dec
2018-03-01,4081,2018,3,Mar
2018-01-01,4077,2018,1,Jan
2017-06-01,4077,2017,6,Jun
2016-04-01,4036,2016,4,Apr
2016-05-01,4035,2016,5,May
2016-08-01,4018,2016,8,Aug
2018-04-01,4013,2018,4,Apr
2016-01-01,4006,2016,1,Jan
2016-06-01,3999,2016,6,Jun
2018-09-01,3975,2018,9,Sep
2015-01-01,3949,2015,1,Jan
2010-04-01,3936,2010,4,Apr
2016-11-01,3912,2016,11,Nov
2010-05-01,3909,2010,5,May
2015-10-01,3906,2015,10,Oct
2016-03-01,3893,2016,3,Mar
2010-07-01,3892,2010,7,Jul
2011-12-01,3891,2011,12,Dec
2015-09-01,3872,2015,9,Sep
2010-10-01,3846,2010,10,Oct
2016-09-01,3844,2016,9,Sep
2012-01-01,3841,2012,1,Jan
2015-07-01,3829,2015,7,Jul
2010-03-01,3815,2010,3,Mar
2015-08-01,3808,2015,8,Aug
2015-03-01,3795,2015,3,Mar
2017-02-01,3789,2017,2,Feb
2014-12-01,3772,2014,12,Dec
2019-01-01,3740,2019,1,Jan
2015-05-01,3730,2015,5,May
2010-06-01,3711,2010,6,Jun
2010-08-01,3709,2010,8,Aug
2015-11-01,3689,2015,11,Nov
2011-01-01,3688,2011,1,Jan
2011-05-01,3676,2011,5,May
2018-02-01,3672,2018,2,Feb
2011-11-01,3666,2011,11,Nov
2012-12-01,3653,2012,12,Dec
2012-08-01,3647,2012,8,Aug
2011-06-01,3645,2011,6,Jun
2016-02-01,3638,2016,2,Feb
2011-10-01,3618,2011,10,Oct
2014-07-01,3618,2014,7,Jul
2013-08-01,3616,2013,8,Aug
2011-07-01,3594,2011,7,Jul
2011-03-01,3591,2011,3,Mar
2010-09-01,3586,2010,9,Sep
2012-05-01,3579,2012,5,May
2012-06-01,3571,2012,6,Jun
2010-11-01,3566,2010,11,Nov
2015-06-01,3565,2015,6,Jun
2010-02-01,3515,2010,2,Feb
2014-08-01,3508,2014,8,Aug
2011-08-01,3503,2011,8,Aug
2013-05-01,3502,2013,5,May
2013-07-01,3501,2013,7,Jul
2013-01-01,3494,2013,1,Jan
2011-04-01,3493,2011,4,Apr
2011-09-01,3471,2011,9,Sep
2012-03-01,3460,2012,3,Mar
2012-07-01,3455,2012,7,Jul
2014-09-01,3455,2014,9,Sep
2014-10-01,3454,2014,10,Oct
2012-10-01,3448,2012,10,Oct
2013-03-01,3439,2013,3,Mar
2015-02-01,3416,2015,2,Feb
2015-04-01,3381,2015,4,Apr
2012-04-01,3375,2012,4,Apr
2014-06-01,3366,2014,6,Jun
2012-09-01,3363,2012,9,Sep
2012-11-01,3355,2012,11,Nov
2014-05-01,3320,2014,5,May
2013-10-01,3319,2013,10,Oct
2013-09-01,3305,2013,9,Sep
2013-04-01,3298,2013,4,Apr
2013-06-01,3295,2013,6,Jun
2011-02-01,3261,2011,2,Feb
2013-11-01,3228,2013,11,Nov
2014-11-01,3223,2014,11,Nov
2012-02-01,3187,2012,2,Feb
2013-12-01,3176,2013,12,Dec
2014-01-01,3125,2014,1,Jan
2013-02-01,3071,2013,2,Feb
2014-04-01,3025,2014,4,Apr
2014-03-01,2893,2014,3,Mar
2014-02-01,2622,2014,2,Feb
